team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
DET,2022,DET,DET,Team Level,other,22,0.68,0.47,0.49,3378,44.55,9.89,3.15,7.62,1.39,22.72,15.23,9.76,9.89,9.76,51,9,13,73,10,3,1,9,2,15,21,41,50,5,10,38,8,5,5,33,16,11,1.37,1.75,6.76,1,2,7,73,60,60,4,0.94,0.67,0.67,10.16,10.16,10.06,45.03,4.65,3.95,9.07,1.65,27.89,15.79,4.42,4.65,4.42,42,21,20,83,5,3,0,8,1,26,20,37,58,3,6,41,12,2,7,43,15,5,1.59,1.77,1.29,1,3,1,83,63,63,1,1.21,0.22,0.22,5.65,5.65,5.38
DET,2022,DET,DET,Team Level,all,22,0.53,0.48,0.49,80721,660.25,65.26,45.79,154.2,21.89,365.59,258.27,62.5,65.03,62.31,675,236,279,1190,71,65,8,136,11,305,323,604,840,80,161,585,554,111,173,673,170,68,19.48,20.51,25.27,26,21,24,1182.6,911,905.04,80,10.33,13.44,13.46,62.13,61.89,60.58,682.91,58.86,47.09,159.24,22.63,382.16,275.03,53.93,59.54,54.54,683,262,356,1301,68,60,12,139,18,345,315,615,877,93,190,647,449,91,195,740,151,54,21.74,18.35,18.77,37,18,13,1316.41,945,958.81,98,10.61,12.54,12.59,56.87,57.36,53.79
DET,2022,DET,DET,Team Level,5on5,22,0.48,0.46,0.47,64331,474.19,38.63,30.73,117.86,15.74,261.53,192.52,36.9,38.4,36.71,482,175,221,878,44,50,6,99,7,222,235,438,613,66,133,422,509,88,144,503,117,37,13.66,14.41,10.56,23,13,8,870.6,657,651.04,68,6.34,10.62,10.64,34.34,34.1,33.63,534.66,42.38,34.87,129.73,17.69,296.67,219.65,40.41,43.07,41.02,540,201,288,1029,46,49,9,119,15,264,248,494,695,80,166,485,408,74,166,590,115,36,17.26,14.16,10.97,27,12,7,1044.41,741,754.81,87,7.19,10.19,10.24,39.34,39.82,38.99
DET,2022,DET,DET,Team Level,4on5,22,0.14,0.12,0.15,5243,15.72,1.75,0.92,2.31,0.52,4.9,10.6,1.74,1.75,1.74,18,3,1,22,2,0,0,2,0,4,13,16,19,4,8,43,28,12,7,14,4,3,0.45,0.52,0.78,0,2,0,22,21,21,7,0.22,0,0,1.96,1.96,1.96,86.63,10.89,7.57,17.85,2.84,52.36,27.49,8.18,10.89,8.18,79,40,43,162,13,8,3,11,2,54,31,66,106,7,12,52,9,2,12,87,19,13,2.16,2.21,6.52,5,3,5,162,119,119,0,2.03,2.13,2.13,10.79,10.79,8.33
DET,2022,DET,DET,Team Level,5on4,22,0.94,0.89,0.89,7769,125.8,14.99,10.99,26.4,4.24,76.44,39.93,14.09,14.99,14.09,124,49,44,217,15,12,1,26,2,64,54,109,158,5,10,82,9,6,17,123,33,17,4,3.83,7.17,2,4,9,217,173,173,1,2.83,2.15,2.15,15.67,15.67,14.94,16.6,0.94,0.7,2.59,0.45,5.22,12.1,0.93,0.94,0.93,22,0,5,27,4,0,0,1,0,1,16,18,18,3,6,69,20,13,10,20,2,0,0.72,0.21,0,4,0,0,27,22,22,10,0.16,0,0,1.1,1.1,1.09
DAL,2022,DAL,DAL,Team Level,other,24,0.56,0.52,0.5,2978,39.56,10,2.7,7.62,1.46,20.21,13.01,9.56,10,9.56,39,16,21,76,9,6,1,7,2,16,15,30,46,4,8,34,12,8,8,25,14,16,1,1.65,7.35,3,2,4,76,55,55,5,0.77,1.26,1.26,9.51,9.51,9.25,40.49,8,3.1,7.74,1.44,21.86,13.86,7.61,8,7.61,37,19,15,71,6,2,0,7,0,13,28,31,50,1,2,38,9,8,7,29,15,12,1.11,1.83,5.07,1,3,2,71,56,56,2,0.92,0.09,0.09,8.84,8.84,8.38
DAL,2022,DAL,DAL,Team Level,all,24,0.52,0.51,0.5,87183,754.6,83.16,52.82,174.29,25.08,411.61,292.04,79.47,84.65,80.95,761,278,390,1429,93,76,17,137,26,325,382,668,946,107,248,800,512,176,241,726,229,84,21.33,28.26,33.58,34,26,33,1466.72,1039,1061.11,147,11.8,18.81,18.86,76.1,77.65,76.01,744.44,75.96,53.97,167.56,24.34,413,293.17,73.21,75.31,72.56,756,272,335,1363,65,62,14,151,9,343,398,691,963,88,220,628,623,183,237,722,224,82,21.04,27.73,27.2,16,29,20,1337.03,1028,1012.31,127,11.99,12.74,12.74,75.22,74.42,72.61
DAL,2022,DAL,DAL,Team Level,5on5,24,0.5,0.52,0.5,68868,570.6,50.58,38.31,137.57,19.01,315.78,229.76,49.09,52.07,50.56,566,225,320,1111,59,46,10,109,20,252,305,507,732,93,220,609,468,149,204,567,186,38,17.15,23,10.42,24,23,12,1148.73,791,813.11,127,7.94,8.92,9.26,49.26,50.81,50.02,563.12,50.26,38.38,132.61,18.1,310.22,226.43,48.82,49.61,48.17,564,212,255,1031,44,46,12,120,7,258,301,520,732,78,200,467,583,150,193,565,163,48,16.6,20.28,13.38,13,21,10,1005.03,776,760.31,110,7.95,9.6,9.6,48.61,47.82,47.03
DAL,2022,DAL,DAL,Team Level,4on5,24,0.12,0.14,0.15,9162,21.11,2.22,1.07,3.06,0.69,6.95,15.01,2.16,2.22,2.16,24,5,7,36,4,1,0,0,0,5,19,20,25,2,4,85,28,17,15,21,4,4,0.61,0.53,1.08,0,1,3,36,29,29,14,0.25,0.26,0.26,2.2,2.2,2.18,120.88,15.56,11.4,24.41,4.12,74.38,39.14,14.72,15.56,14.72,128,41,61,230,15,13,2,22,2,66,51,113,154,6,12,72,14,6,26,111,39,19,2.87,4.7,7.99,2,5,8,230,169,169,4,2.87,2.72,2.72,15.7,15.7,15.13
DAL,2022,DAL,DAL,Team Level,5on4,24,0.9,0.87,0.86,6175,123.32,20.36,10.74,26.04,3.92,68.66,34.27,18.66,20.36,18.66,132,32,42,206,21,23,6,21,4,52,43,111,143,8,16,72,4,2,14,113,25,26,2.57,3.07,14.73,7,0,14,206,164,164,1,2.85,8.36,8.08,15.13,15.13,14.56,19.94,2.14,1.1,2.79,0.69,6.54,13.74,2.06,2.14,2.06,27,0,4,31,0,1,0,2,0,6,18,27,27,3,6,51,17,19,11,17,7,3,0.47,0.92,0.76,0,0,0,31,27,27,11,0.25,0.32,0.32,2.07,2.07,2.06
