team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2021,NYR,NYR,Team Level,other,20,0.4,0.52,0.47,3258,31.43,8.1,1.94,5.65,1.06,15.91,11.33,7.41,8.1,7.41,31,13,22,66,6,3,1,3,0,15,17,25,38,3,8,31,9,11,10,21,14,9,0.76,1.81,5.53,0,1,5,66,44,44,3,0.59,1.42,1.72,6.97,6.97,6.36,36.87,11.93,2.67,6.02,1.18,18.66,9.53,10.48,11.93,10.48,34,16,11,61,7,6,1,5,4,16,12,27,43,4,8,27,12,6,11,20,11,19,0.72,1.27,9.95,0,0,7,61,50,50,6,0.86,2.82,2.82,9.96,9.96,9.41
NYR,2021,NYR,NYR,Team Level,all,20,0.42,0.46,0.45,75236,619.87,58.07,40.09,143.51,20.21,343.74,256.39,55.19,58.47,55.56,626,236,306,1168,62,50,5,140,19,312,279,564,800,80,171,512,629,211,361,663,141,58,18.77,16.79,22.51,34,10,18,1175.99,862,869.15,164,8.75,12.33,12.33,54.48,54.8,52.81,755.51,79.11,54.43,176.44,25.73,414.22,297.07,74.85,78.84,74.59,756,291,332,1379,58,94,14,128,25,368,374,698,989,74,165,653,585,196,307,734,226,87,21.59,27.58,29.94,15,22,21,1366.18,1047,1039.04,108,12.03,17.81,17.81,73.32,73,71.05
NYR,2021,NYR,NYR,Team Level,5on5,20,0.39,0.45,0.44,62529,494.96,35.65,30.76,120.66,16.12,275.21,207.6,34.54,36.05,34.91,500,186,237,923,38,43,1,117,17,239,232,462,648,68,145,410,593,185,325,553,101,32,15.04,12,8.61,27,8,3,930.99,686,693.15,154,6.29,8.3,8,33.93,34.25,33.8,618.81,56.49,43.04,150.51,21.09,337.99,248.89,54.18,56.21,53.92,612,246,277,1135,38,80,11,109,18,302,311,574,820,66,149,523,552,167,269,616,185,57,18.54,22.65,15.29,14,15,9,1122.17,858,850.04,96,8.95,14,14,51.43,51.1,50.21
NYR,2021,NYR,NYR,Team Level,4on5,20,0.18,0.15,0.17,4734,17.66,2,0.96,2.49,0.53,5.83,12.19,1.88,2,1.88,19,5,3,27,2,1,1,2,0,3,16,17,22,4,8,26,16,9,6,17,3,4,0.42,0.38,1.19,0,0,2,27,24,24,6,0.22,0.29,0.29,1.93,1.93,1.92,82.92,9.29,7.82,17.52,2.98,52.23,27.16,8.79,9.29,8.79,92,25,42,159,10,8,2,13,3,44,39,82,107,3,6,59,3,7,23,84,22,11,1.97,2.61,4.7,1,4,5,159,117,117,4,2.02,0.99,0.99,10.32,10.32,9.86
NYR,2021,NYR,NYR,Team Level,5on4,20,0.9,0.86,0.83,4715,75.82,12.31,6.43,14.71,2.49,46.78,25.28,11.36,12.31,11.36,76,32,44,152,16,3,2,18,2,55,14,60,92,5,10,45,11,6,20,72,23,13,2.55,2.59,7.18,7,1,8,152,108,108,1,1.66,2.33,2.33,11.65,11.65,10.72,16.9,1.41,0.9,2.39,0.48,5.34,11.48,1.39,1.41,1.39,18,4,2,24,3,0,0,1,0,6,12,15,19,1,2,44,18,16,4,14,8,0,0.35,1.05,0,0,3,0,24,22,22,2,0.2,0,0,1.61,1.61,1.58
FLA,2021,FLA,FLA,Team Level,other,10,0.31,0.53,0.53,1659,20.92,3.65,1.54,4.19,0.71,13.18,6.73,3,3.65,3,19,11,9,39,2,1,0,5,1,12,9,17,28,1,2,25,12,3,3,18,6,6,0.78,0.64,2.23,0,0,2,39,30,30,0,0.44,0.47,0.47,3.62,3.62,3.1,19.55,8.3,1.41,2.94,0.82,9.16,4.38,7.37,8.3,7.37,20,7,7,34,6,3,1,2,0,12,4,14,21,2,4,18,16,2,7,11,2,14,0.37,0.34,7.59,1,0,5,34,27,27,3,0.45,1.67,1.67,7.08,7.08,6.74
FLA,2021,FLA,FLA,Team Level,all,10,0.44,0.56,0.55,36463,360.68,30.31,25.71,83.46,11.74,205.29,145.5,28.82,30.29,28.8,353,149,175,677,23,26,5,73,8,191,181,330,479,45,93,312,443,76,84,377,98,27,10.51,11.88,7.91,6,7,10,674.88,502,499.51,37,5.68,4.63,4.63,31.35,31.25,30.14,302.99,38.17,21.54,65.73,9.89,162.68,116,36.34,38.56,36.7,308,106,119,533,32,31,7,57,9,135,150,276,382,39,81,283,429,65,114,290,75,49,9.08,9.57,19.51,6,10,16,538.8,414,419.07,51,4.9,8.19,8.19,34.88,35.2,34.45
FLA,2021,FLA,FLA,Team Level,5on5,10,0.52,0.57,0.57,28090,285.33,22.15,18.84,68.26,9.29,157.87,118.6,21.54,22.14,21.53,277,118,122,517,20,20,5,61,7,148,139,257,375,40,83,228,406,63,72,302,75,18,8.49,9.32,4.35,6,7,7,514.88,395,392.51,32,3.9,3.47,3.47,22.58,22.48,22.05,217,20.75,15.04,50.69,7.03,118.29,85.2,20.01,21.14,20.36,217,80,96,393,16,23,4,45,9,92,112,201,281,37,77,220,388,51,91,212,61,24,6.84,7.64,6.26,4,8,4,398.8,297,302.07,42,3.12,4.43,4.43,19.45,19.76,19.51
FLA,2021,FLA,FLA,Team Level,4on5,10,0.06,0.13,0.1,3298,5.65,0.53,0.29,0.74,0.17,1.91,4.36,0.53,0.53,0.53,7,1,5,13,0,0,0,0,0,4,4,7,8,2,4,32,16,8,5,5,3,0,0.15,0.37,0,0,0,0,13,8,8,4,0.07,0,0,0.59,0.59,0.59,54.72,8.22,4.59,10.33,1.7,31.52,17.64,8.06,8.22,8.06,57,17,15,89,10,5,2,10,0,26,23,47,64,0,0,25,10,2,8,54,10,10,1.45,1.34,5.43,1,2,7,89,74,74,1,1.21,2.1,2.1,7.33,7.33,7.18
FLA,2021,FLA,FLA,Team Level,5on4,10,0.81,0.86,0.81,3416,48.78,3.98,5.04,10.27,1.57,32.33,15.81,3.75,3.98,3.75,50,19,39,108,1,5,0,7,0,27,29,49,68,2,4,27,9,2,4,52,14,3,1.08,1.56,1.34,0,0,1,108,69,69,1,1.27,0.7,0.7,4.55,4.55,4.4,11.73,0.9,0.5,1.76,0.34,3.71,8.78,0.9,0.9,0.9,14,2,1,17,0,0,0,0,0,5,11,14,16,0,0,20,15,10,8,13,2,1,0.42,0.25,0.23,0,0,0,17,16,16,5,0.11,0,0,1.02,1.02,1.02
