team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2018,NYI,NYI,Team Level,other,8,0.6,0.59,0.61,1579,16.48,3.3,1.34,2.58,0.54,10.19,7.04,3.24,3.3,3.24,18,7,4,29,2,1,0,3,5,9,5,16,23,1,2,21,7,1,6,16,5,4,0.58,0.6,2.12,0,0,2,29,25,25,4,0.37,0,0,3.67,3.67,3.59,11.49,2.16,0.79,2.04,0.37,6.89,3.75,2.14,2.16,2.14,11,5,4,20,3,0,0,1,0,3,9,8,13,0,0,13,5,4,5,10,4,2,0.32,0.4,1.44,1,0,2,20,16,16,2,0.25,0,0,2.41,2.41,2.39
NYI,2018,NYI,NYI,Team Level,all,8,0.53,0.48,0.48,29323,241.66,26.35,17.6,52.41,8.43,132.71,103.52,24.71,26.37,24.74,245,96,126,467,19,18,3,52,15,114,123,226,322,30,62,233,330,57,129,231,86,24,6.95,10.02,9.38,6,5,8,469.01,341,344.14,72,3.91,3.41,3.41,26.86,26.87,25.42,255.78,23.62,17.61,57.67,8.26,148.78,111.06,22.96,23.58,22.92,245,122,140,507,19,13,3,41,11,135,148,226,348,32,64,215,295,64,120,277,68,22,8,7.8,7.83,5,6,8,503.92,367,364.37,59,3.83,2.39,2.39,25.06,25.03,24.5
NYI,2018,NYI,NYI,Team Level,5on5,8,0.49,0.46,0.46,23063,179.78,16.04,12.48,41.27,6.28,98.86,77.07,15.53,16.06,15.56,178,74,102,354,12,13,2,40,8,76,103,166,240,24,48,171,308,46,101,172,69,11,5.43,7.88,2.73,6,3,3,356.01,252,255.14,60,2.58,2.4,2.4,16.22,16.23,15.91,209.87,16.43,13.95,48.99,6.82,121.77,93.04,16.04,16.38,16,197,104,109,410,14,11,2,38,10,112,116,183,287,28,56,174,271,48,89,235,53,13,7.02,6.16,3.25,4,6,4,406.92,301,298.37,45,2.85,2.03,2.03,17.26,17.23,16.99
NYI,2018,NYI,NYI,Team Level,4on5,8,0.06,0.14,0.2,2306,6.57,0.28,0.28,0.71,0.19,1.63,7.91,0.28,0.28,0.28,10,1,0,11,0,0,0,3,0,1,7,10,11,1,2,20,12,3,6,10,1,0,0.15,0.14,0,0,0,0,11,11,11,6,0.07,0,0,0.35,0.35,0.34,29.94,4.61,2.6,6.12,0.94,18.87,9.86,4.35,4.61,4.35,31,12,27,70,2,2,1,2,1,20,16,29,41,2,4,11,3,5,14,28,8,7,0.6,0.89,3.13,0,0,2,70,43,43,1,0.67,0.36,0.36,4.91,4.91,4.65
NYI,2018,NYI,NYI,Team Level,5on4,8,0.94,0.91,0.88,2375,38.82,6.73,3.49,7.84,1.42,22.02,11.49,5.67,6.73,5.67,39,14,20,73,5,4,1,6,2,28,8,34,48,4,10,21,3,7,16,33,11,9,0.79,1.41,4.53,0,2,3,73,53,53,2,0.9,1.01,1.01,6.62,6.62,5.57,4.48,0.42,0.27,0.52,0.13,1.25,4.41,0.42,0.42,0.42,6,1,0,7,0,0,0,0,0,0,7,6,7,2,4,17,16,7,12,4,3,0,0.07,0.35,0,0,0,0,7,7,7,11,0.06,0,0,0.48,0.48,0.48
BOS,2018,BOS,BOS,Team Level,other,24,0.67,0.52,0.52,3094,31.89,13.18,1.94,4.26,1.05,16.53,10.1,12.47,13.18,12.47,30,18,23,71,11,2,1,2,4,12,17,19,37,2,4,31,8,5,8,22,6,20,0.83,0.69,11.66,2,0,9,71,48,48,6,0.56,0.59,0.59,13.08,13.08,12.38,32.34,6.48,2.47,5.96,1.13,19.1,9.87,6.24,6.48,6.24,29,16,20,65,4,1,0,8,1,22,9,25,41,1,2,38,11,9,11,23,12,10,0.89,1.42,4.16,1,1,2,65,45,45,8,0.73,0.76,0.76,6.44,6.44,6.21
BOS,2018,BOS,BOS,Team Level,all,24,0.55,0.5,0.51,88368,755.78,79.21,49.12,176.16,25.79,411.94,320.85,76.66,79.98,77.42,781,283,315,1379,79,60,13,178,26,301,421,702,985,75,148,755,741,186,215,797,187,80,22.99,23.04,33.18,23,19,37,1403.74,1064,1080.04,96,10.86,13.58,13.58,76.42,77.16,75.43,732.22,64.15,50.19,172.26,24.88,410.24,310.34,61.49,63.82,61.18,744,289,350,1383,51,50,9,195,24,343,370,693,982,77,159,700,889,245,259,780,197,56,22.28,23.83,18.04,25,11,15,1361.03,1033,1021.71,129,11.1,11.28,11.33,63.86,63.53,62.02
BOS,2018,BOS,BOS,Team Level,5on5,24,0.51,0.5,0.51,71796,603.17,46.58,37.56,148.63,20.52,328.54,262.17,45.46,47.36,46.22,620,224,256,1100,43,43,6,156,18,237,348,577,801,64,130,599,701,154,175,667,141,36,19.04,17.13,10.41,17,15,11,1124.74,844,860.04,84,7.75,8.55,8.59,45.74,46.48,45.86,567.07,43.94,36,139.26,19.41,314.64,243.83,42.64,43.61,42.33,572,226,283,1081,40,37,8,155,20,254,292,532,758,69,141,530,821,200,217,626,141,31,18.07,17.19,8.68,23,7,10,1059.03,798,786.71,111,7.42,7.59,7.64,43.65,43.33,42.67
BOS,2018,BOS,BOS,Team Level,4on5,24,0.11,0.12,0.14,6782,16.88,1.44,0.73,2.46,0.48,4.57,15.33,1.41,1.44,1.41,23,2,2,27,2,2,1,3,1,2,15,21,23,2,4,54,25,17,6,21,2,2,0.58,0.37,0.49,1,0,1,27,25,25,5,0.17,0.33,0.33,1.27,1.27,1.26,112.82,11.85,10.77,24.69,3.79,71.27,36.64,10.72,11.85,10.72,119,40,45,204,7,11,1,30,3,64,44,112,152,5,12,81,16,15,21,110,35,14,2.98,3.96,4.9,1,3,3,204,159,159,2,2.74,2.64,2.64,11.94,11.94,11.32
BOS,2018,BOS,BOS,Team Level,5on4,24,0.9,0.85,0.83,6696,103.84,18,8.89,20.81,3.75,62.3,33.25,17.31,18,17.31,108,39,34,181,23,13,5,17,3,50,41,85,124,7,10,71,7,10,26,87,38,22,2.54,4.85,10.62,3,4,16,181,147,147,1,2.39,4.11,4.07,16.32,16.32,15.92,19.98,1.89,0.96,2.35,0.55,5.24,20.01,1.89,1.89,1.89,24,7,2,33,0,1,0,2,0,3,25,24,31,2,4,51,41,21,10,21,9,1,0.34,1.27,0.29,0,0,0,33,31,31,8,0.21,0.29,0.29,1.82,1.82,1.81
