"","team","season","name","situation","games_played","playoffFlag","division","xGoalsPercentage","corsiPercentage","fenwickPercentage","flurryAdjustedxGoalsFor","flurryAdjustedxGoalsAgainst","blockedShotAttemptsFor","blockedShotAttemptsAgainst","shotsOnGoalFor","shotsOnGoalAgainst","missedShotsFor","missedShotsAgainst","goalsFor","goalsAgainst","reboundsFor","reboundsAgainst","reboundGoalsFor","reboundGoalsAgainst","freezeFor","freezeAgainst","savedShotsOnGoalFor","savedShotsOnGoalAgainst","penaltiesFor","penaltiesAgainst","faceOffPercentage","hitsFor","hitsAgainst","takeawaysFor","takeawaysAgainst","giveawaysFor","giveawaysAgainst","lowDangerShotsFor","lowDangerShotsAgainst","mediumDangerShotsFor","mediumDangerShotsAgainst","highDangerShotsFor","highDangerShotsAgainst","savePercentage","allDangerShotsFor"
"1","MIN","2017","MIN","other",82,"In Playoffs","Central",0.5,0.45,0.45,0.371219512195122,0.369268292682927,0.548780487804878,0.74390243902439,1.52439024390244,1.81707317073171,0.560975609756098,0.695121951219512,0.451219512195122,0.451219512195122,0.0975609756097561,0.134146341463415,0.0365853658536585,4,0.219512195121951,0.353658536585366,1.07317073170732,1.36585365853659,0.0487804878048781,0.024390243902439,0.5,0.365853658536585,0.463414634146341,0.25609756097561,0.280487804878049,0.329268292682927,0.317073170731707,0.914634146341463,1.39024390243902,0.634146341463415,0.560975609756098,0.536585365853659,0.560975609756098,0.751677852348993,2.08536585365854
"2","MIN","2017","MIN","all",82,"In Playoffs","Central",0.53,0.47,0.48,2.78829268292683,2.50548780487805,12.390243902439,15.7926829268293,30.2073170731707,31.3292682926829,10.5487804878049,12.9878048780488,3.04878048780488,2.79268292682927,2.5,1.84146341463415,0.536585365853659,29,6.34146341463415,7.42682926829268,27.1585365853659,28.5365853658537,3.69512195121951,3.35365853658537,0.498040833161477,16.6707317073171,18.4634146341463,5.85365853658537,4.67073170731707,6.23170731707317,7.0609756097561,29.5243902439024,34.9024390243902,8.57317073170732,7.26829268292683,2.65853658536585,2.14634146341463,0.910860256909303,40.7560975609756
"3","MIN","2017","MIN","5on5",82,"In Playoffs","Central",0.53,0.47,0.48,1.8719512195122,1.66524390243902,10.1341463414634,12.6707317073171,23.8414634146341,24.1463414634146,7.90243902439024,10.0609756097561,1.95121951219512,1.75609756097561,1.92682926829268,1.39024390243902,0.378048780487805,20,5.42682926829268,6.09756097560976,21.890243902439,22.390243902439,3.14634146341463,3.01219512195122,0.497340425531915,15.5609756097561,17.2682926829268,4.84146341463415,3.86585365853659,5.01219512195122,5.70731707317073,23.5731707317073,27.719512195122,6.59756097560976,5.35365853658537,1.57317073170732,1.13414634146341,0.927272727272727,31.7439024390244
"4","MIN","2017","MIN","4on5",82,"In Playoffs","Central",0.11,0.11,0.12,0.053780487804878,0.426341463414634,0.121951219512195,2.24390243902439,0.74390243902439,4.63414634146341,0.195121951219512,2,0.0853658536585366,0.524390243902439,0,0.317073170731707,0,5,0.0365853658536585,0.951219512195122,0.658536585365854,4.10975609756098,0.146341463414634,0.219512195121951,0.443231441048035,0.475609756097561,0.146341463414634,0.548780487804878,0.121951219512195,0.304878048780488,0.585365853658537,0.719512195121951,5.08536585365854,0.195121951219512,1.14634146341463,0.024390243902439,0.402439024390244,0.886842105263158,0.939024390243902
"5","MIN","2017","MIN","5on4",82,"In Playoffs","Central",0.92,0.87,0.86,0.491341463414634,0.0448780487804878,1.58536585365854,0.134146341463415,4.09756097560976,0.731707317073171,1.89024390243902,0.231707317073171,0.560975609756098,0.0609756097560976,0.475609756097561,0,0.121951219512195,0,0.658536585365854,0.024390243902439,3.53658536585366,0.670731707317073,0.353658536585366,0.0975609756097561,0.567088607594937,0.268292682926829,0.585365853658537,0.207317073170732,0.402439024390244,0.585365853658537,0.451219512195122,4.31707317073171,0.707317073170732,1.14634146341463,0.207317073170732,0.524390243902439,0.0487804878048781,0.916666666666667,5.98780487804878
"6","DAL","2017","DAL","other",82,"Not in Playoffs","Central",0.52,0.56,0.56,0.357317073170732,0.327439024390244,0.817073170731707,0.695121951219512,2.29268292682927,1.60975609756098,0.707317073170732,0.731707317073171,0.402439024390244,0.365853658536585,0.170731707317073,0.0975609756097561,0.0365853658536585,0,0.353658536585366,0.292682926829268,1.89024390243902,1.24390243902439,0.109756097560976,0.158536585365854,0.498305084745763,0.524390243902439,0.402439024390244,0.292682926829268,0.268292682926829,0.353658536585366,0.390243902439024,1.79268292682927,1.29268292682927,0.719512195121951,0.597560975609756,0.48780487804878,0.451219512195122,0.772727272727273,3
"7","DAL","2017","DAL","all",82,"Not in Playoffs","Central",0.52,0.51,0.51,2.73378048780488,2.53085365853659,15.7682926829268,15.5121951219512,31.2317073170732,29.8414634146341,11.7073170731707,11.5731707317073,2.81707317073171,2.70731707317073,2.48780487804878,2.08536585365854,0.463414634146341,38,6.79268292682927,6.47560975609756,28.4146341463415,27.1341463414634,4.0609756097561,3.65853658536585,0.525077760497667,22.6951219512195,20.8170731707317,5.59756097560976,5.19512195121951,8.5,9.0609756097561,31.8658536585366,32.0853658536585,8.36585365853658,6.91463414634146,2.70731707317073,2.41463414634146,0.909276665304454,42.9390243902439
"8","DAL","2017","DAL","5on5",82,"Not in Playoffs","Central",0.53,0.51,0.51,1.82268292682927,1.61841463414634,12.7560975609756,12.3414634146341,23.5121951219512,22.5487804878049,9.18292682926829,8.73170731707317,1.81707317073171,1.64634146341463,1.79268292682927,1.47560975609756,0.304878048780488,22,5.5,5.15853658536585,21.6951219512195,20.9024390243902,3.53658536585366,3.02439024390244,0.529710512950736,20.8414634146341,19.3292682926829,4.5609756097561,4.35365853658537,6.82926829268293,7.42682926829268,24.9390243902439,24.9634146341463,6.14634146341463,5.17073170731707,1.60975609756098,1.14634146341463,0.926987560843699,32.6951219512195
"9","DAL","2017","DAL","4on5",82,"Not in Playoffs","Central",0.12,0.12,0.15,0.0769512195121951,0.533658536585366,0.0853658536585366,2.30487804878049,0.951219512195122,4.71951219512195,0.207317073170732,1.96341463414634,0.0609756097560976,0.609756097560976,0.0365853658536585,0.48780487804878,0.0121951219512195,15,0.0609756097560976,0.963414634146341,0.890243902439024,4.10975609756098,0.207317073170732,0.317073170731707,0.495934959349593,0.975609756097561,0.365853658536585,0.634146341463415,0.134146341463415,0.426829268292683,0.878048780487805,0.780487804878049,4.92682926829268,0.24390243902439,0.975609756097561,0.134146341463415,0.780487804878049,0.870801033591731,1.15853658536585
"10","DAL","2017","DAL","5on4",82,"Not in Playoffs","Central",0.91,0.86,0.85,0.476829268292683,0.0513414634146341,2.10975609756098,0.170731707317073,4.47560975609756,0.963414634146341,1.60975609756098,0.146341463414634,0.536585365853659,0.0853658536585366,0.48780487804878,0.024390243902439,0.109756097560976,1,0.878048780487805,0.0609756097560976,3.9390243902439,0.878048780487805,0.207317073170732,0.158536585365854,0.534606205250597,0.353658536585366,0.719512195121951,0.109756097560976,0.439024390243902,0.890243902439024,0.365853658536585,4.35365853658537,0.902439024390244,1.25609756097561,0.170731707317073,0.475609756097561,0.0365853658536585,0.911392405063291,6.08536585365854
