team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2020,NYI,NYI,Team Level,other,19,0.65,0.5,0.5,2910,24.1,6.26,1.81,3.67,0.83,13.17,8.27,6.03,6.26,6.03,23,11,14,48,5,1,0,3,0,8,17,18,29,3,6,22,9,2,9,16,9,9,0.82,1,4.44,1,0,4,48,34,34,3,0.55,0.14,0.14,6.67,6.67,6.44,24.78,3.32,1.69,4.62,0.99,14.04,9.34,3.28,3.32,3.28,23,11,14,48,2,0,0,1,1,13,17,21,32,6,12,23,13,4,3,22,9,3,0.71,1.12,1.48,0,1,1,48,34,34,2,0.47,0,0,3.79,3.79,3.75
NYI,2020,NYI,NYI,Team Level,all,19,0.48,0.45,0.44,71813,524.06,52.61,37.42,119.58,16.96,290.22,206.22,51.06,52.41,50.89,542,181,250,973,54,42,12,99,9,215,304,488,669,65,148,524,778,100,164,537,128,58,15.35,15.23,22.03,18,15,21,964.68,723,717.46,87,8.19,8.82,8.82,51.98,51.88,51.18,658.92,56.17,44.75,152.89,21.48,368.97,269.74,54.46,56.32,54.61,668,246,287,1201,53,43,5,132,31,296,359,615,861,69,157,487,700,132,185,692,177,45,19.21,21.9,15.06,18,22,13,1210,914,921.62,100,9.6,9.15,9.15,56.62,56.76,55.7
NYI,2020,NYI,NYI,Team Level,5on5,19,0.47,0.44,0.44,60627,438.72,36.3,30.05,104.76,14.26,243.44,178.19,35.42,36.11,35.24,454,153,201,808,40,36,12,88,7,176,260,414,567,59,133,430,744,85,141,470,103,34,13.41,12.24,10.66,17,14,9,799.68,607,601.46,81,6.17,7.77,7.77,34.71,34.61,34.22,554.93,41.11,36.46,134.14,17.93,312.5,229.85,40.23,41.27,40.38,560,212,247,1019,36,35,3,121,28,248,304,524,736,60,139,397,655,112,169,606,137,29,16.79,16.77,7.55,15,16,5,1028,772,779.62,94,7.48,6.16,6.16,42.44,42.57,42.02
NYI,2020,NYI,NYI,Team Level,4on5,19,0.08,0.1,0.08,3763,5.9,0.81,0.36,0.81,0.19,2.04,3.8,0.81,0.81,0.81,7,1,4,12,0,0,0,1,0,1,6,7,8,1,2,29,18,9,3,4,2,2,0.07,0.25,0.49,0,0,0,12,8,8,3,0.08,0,0,0.89,0.89,0.89,63.13,9.73,5.69,11.88,2.09,37.65,19.96,8.97,9.73,8.97,66,21,23,110,13,7,2,6,1,31,29,53,74,2,4,30,9,1,10,53,24,10,1.43,3.12,5.18,3,5,5,110,87,87,1,1.44,2.92,2.92,8.25,8.25,7.81
NYI,2020,NYI,NYI,Team Level,5on4,19,0.82,0.81,0.78,4513,55.34,9.24,5.21,10.35,1.67,31.57,15.97,8.81,9.24,8.81,58,16,31,105,9,5,0,7,2,30,21,49,65,2,7,43,7,4,11,47,14,13,1.05,1.74,6.45,0,1,8,105,74,74,0,1.39,0.91,0.91,9.71,9.71,9.63,16.07,2.01,0.9,2.25,0.48,4.77,10.59,1.98,2.01,1.98,19,2,3,24,2,1,0,4,1,4,9,17,19,1,2,37,23,15,3,11,7,3,0.28,0.89,0.84,0,0,2,24,21,21,3,0.21,0.07,0.07,2.14,2.14,2.12
EDM,2020,EDM,EDM,Team Level,other,4,0.48,0.7,0.67,197,5.19,1.42,0.57,0.93,0.19,1.96,0.94,1.34,1.42,1.34,5,1,1,7,1,2,1,1,1,0,1,4,5,0,0,4,1,0,0,3,1,2,0.11,0.16,1.15,0,0,1,7,6,6,0,0.2,0.88,0.88,0.74,0.74,0.69,2.31,1.56,0.09,0.13,0.05,0.7,0.47,1.56,1.56,1.56,3,0,0,3,2,0,0,1,0,0,0,1,1,0,0,5,1,0,0,0,1,2,0,0.1,1.45,0,0,2,3,3,3,0,0.02,0,0,1.58,1.58,1.58
EDM,2020,EDM,EDM,Team Level,all,4,0.56,0.56,0.54,18011,160.48,15.47,11.45,35.87,5.1,89.41,64.7,14.96,15.69,15.19,159,63,101,323,8,11,3,41,4,78,80,151,214,11,22,119,158,33,50,167,41,14,5.08,4.99,5.41,1,3,4,328.63,222,226.31,37,2.53,3.95,3.95,14.05,14.32,14.05,134.46,12.25,8.51,31.34,4.35,76.62,54.93,11.77,12.2,11.71,138,50,69,257,14,10,3,31,10,70,53,124,174,12,24,143,213,35,62,145,33,10,4.2,4.22,3.82,7,3,4,252.91,188,185.49,56,1.81,2.42,2.42,11.63,11.54,11.32
EDM,2020,EDM,EDM,Team Level,5on5,4,0.58,0.55,0.54,15650,136.61,11.87,9.2,31.89,4.36,76.34,56.32,11.47,12.09,11.7,134,56,88,278,6,8,1,38,3,69,66,128,184,11,22,99,153,27,46,143,37,10,4.69,4.44,2.74,1,3,2,283.63,190,194.31,33,1.9,2.18,2.18,11.59,11.86,11.66,115.21,8.77,7.14,27.96,3.71,65.36,48.06,8.38,8.72,8.33,119,42,64,225,9,8,2,29,7,59,49,110,152,8,16,121,199,32,57,131,22,8,3.56,2.84,2.37,6,1,2,220.91,161,158.49,54,1.47,2.08,2.08,8.16,8.06,7.92
EDM,2020,EDM,EDM,Team Level,4on5,4,0.06,0.17,0.16,1042,2.84,0.12,0.13,0.37,0.07,0.95,2.36,0.12,0.12,0.12,3,1,1,5,0,0,0,0,0,1,3,3,4,0,0,8,2,5,4,3,1,0,0.04,0.08,0,0,0,0,5,4,4,4,0.03,0,0,0.15,0.15,0.14,14.74,1.76,1.2,2.94,0.54,9.83,4.73,1.66,1.76,1.66,13,8,4,25,3,2,1,1,2,10,3,10,18,1,2,9,3,0,3,12,9,0,0.6,1.16,0,1,2,0,25,21,21,0,0.3,0.34,0.34,1.71,1.71,1.65
EDM,2020,EDM,EDM,Team Level,5on4,4,0.93,0.89,0.88,1122,15.84,2.06,1.55,2.68,0.47,10.16,5.08,2.04,2.06,2.04,17,5,11,33,1,1,1,2,0,8,10,16,21,0,0,8,2,1,0,18,2,2,0.24,0.31,1.51,0,0,1,33,22,22,0,0.4,0.89,0.89,1.57,1.57,1.56,2.21,0.16,0.08,0.31,0.06,0.71,1.67,0.16,0.16,0.16,3,0,1,4,0,0,0,0,1,1,1,3,3,3,6,8,10,3,2,2,1,0,0.04,0.12,0,0,0,0,4,3,3,2,0.02,0,0,0.18,0.18,0.18
