team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VGK,2019,VGK,VGK,Team Level,other,20,0.5,0.52,0.48,3330,38.22,8.84,2.59,6.49,1.18,19.35,12.56,8.52,8.84,8.52,37,14,21,72,5,3,0,7,1,19,16,32,46,1,2,30,15,5,18,29,7,15,1.1,0.83,6.91,2,0,3,72,51,51,10,0.74,1.12,1.39,8.19,8.19,8.1,40.95,8.99,2.71,7.7,1.42,22.44,11.74,8.57,8.99,8.57,43,12,12,67,5,3,0,7,1,22,17,38,50,3,6,28,13,8,8,29,13,13,1.08,1.53,6.37,1,1,3,67,55,55,3,0.77,1.25,1.25,8.51,8.51,8.27
VGK,2019,VGK,VGK,Team Level,all,20,0.59,0.59,0.6,72964,720.89,72.96,49.6,166.32,23.05,393.69,282.38,70.04,73.27,70.31,723,265,406,1394,57,42,9,169,26,372,322,666,931,70,148,520,795,132,306,711,193,84,19.55,23.55,29.87,17,17,23,1398.76,988,990.07,158,10.99,12.19,12.51,71.44,71.68,70.26,481.28,51.08,31.73,106.52,15.12,255.24,187.31,49.7,51.32,49.94,489,158,330,977,44,21,8,99,14,227,242,445,603,69,138,635,694,168,314,444,152,51,12.04,19.44,19.59,8,15,21,973.9,647,648.29,197,7.14,6.4,6.4,51.82,52.04,51.16
VGK,2019,VGK,VGK,Team Level,5on5,20,0.62,0.59,0.61,57048,544.38,50.74,35.64,131.03,17.21,293.81,216.57,48.88,51.04,49.16,551,194,305,1050,40,30,8,131,20,280,244,511,705,66,140,399,737,106,245,539,153,53,15.06,19.01,16.67,12,16,12,1054.76,745,747.07,128,7.39,9.47,9.79,48.34,48.57,47.78,355.64,31.62,22.08,82.86,10.97,183.52,142.94,30.97,31.87,31.22,363,111,258,732,29,14,5,78,11,156,186,334,445,62,124,465,655,134,251,336,110,28,9.13,14.21,8.29,7,12,10,728.9,474,475.29,167,4.58,3.59,3.59,32.62,32.84,32.45
VGK,2019,VGK,VGK,Team Level,4on5,20,0.2,0.18,0.23,6119,21.58,2.32,1.29,3.16,0.73,7.41,15.08,2.31,2.32,2.31,25,5,4,34,1,0,0,4,0,3,22,24,29,1,2,44,31,17,19,20,7,3,0.6,0.88,0.83,0,1,0,34,30,30,19,0.3,0,0,2.62,2.62,2.61,72.69,9.32,6.27,14.71,2.4,45.92,24.37,9.03,9.32,9.03,70,33,55,158,9,4,3,14,1,44,31,61,94,1,2,71,8,9,29,70,24,9,1.61,3.01,4.71,0,2,7,158,103,103,2,1.63,1.56,1.56,9.4,9.4,9.18
VGK,2019,VGK,VGK,Team Level,5on4,20,0.91,0.92,0.92,6467,116.71,11.07,10.07,25.64,3.93,73.12,38.16,10.33,11.07,10.33,110,52,76,238,11,9,1,27,5,70,40,99,151,2,4,47,12,4,24,123,26,13,2.78,2.83,5.46,3,0,8,238,162,162,1,2.57,1.59,1.34,12.3,12.3,11.78,11.98,1.13,0.68,1.25,0.32,3.36,8.26,1.11,1.13,1.11,13,2,5,20,1,0,0,0,1,5,8,12,14,3,6,71,18,17,26,9,5,1,0.23,0.68,0.23,0,0,1,20,15,15,25,0.16,0,0,1.3,1.3,1.27
WPG,2019,WPG,WPG,Team Level,other,4,0.07,0.47,0.48,594,6.03,0.25,0.52,1.24,0.28,5.23,1.55,0.24,0.25,0.24,7,3,4,14,0,0,0,2,0,5,3,7,10,1,2,10,2,0,5,10,0,0,0.25,0,0,0,0,0,14,10,10,4,0.16,0,0,0.34,0.34,0.33,7.8,3.24,0.4,1.26,0.26,3.54,2.31,3.24,3.24,3.24,8,3,5,16,4,0,0,2,0,4,1,4,7,0,0,5,2,0,2,6,1,4,0.26,0.09,2.88,0,0,4,16,11,11,2,0.09,0,0,3.33,3.33,3.33
WPG,2019,WPG,WPG,Team Level,all,4,0.35,0.5,0.49,14400,111.53,8.27,7.28,26.49,3.7,65.28,46.04,8.1,8.19,8.02,110,48,58,216,6,2,1,35,6,59,50,104,152,19,44,136,128,27,66,123,28,7,3.2,3,2.07,1,3,2,209.55,158,154.74,41,1.63,0.24,0.24,9.6,9.48,9.33,118.01,15.11,7.89,26.15,3.66,63.76,45.43,14.53,15.45,14.84,129,33,51,213,16,10,4,30,6,47,53,113,146,19,44,116,120,27,66,122,23,17,3.61,2.91,8.59,3,4,9,219.03,162,165.77,40,1.77,3.09,3.09,13.79,14.05,13.83
WPG,2019,WPG,WPG,Team Level,5on5,4,0.43,0.53,0.52,10716,86.71,5.92,5.37,21.82,2.86,49.14,35.89,5.82,5.84,5.74,86,35,43,164,4,2,1,28,5,43,39,82,117,18,42,98,113,23,49,94,24,3,2.56,2.6,0.77,1,3,0,157.55,121,117.74,29,1.11,0.24,0.24,6.79,6.68,6.6,80.54,7.72,5.32,18.92,2.56,43.77,32.71,7.26,8.06,7.57,87,24,36,147,6,8,2,20,5,32,40,81,105,18,42,79,109,21,54,85,17,9,2.56,2.25,2.9,2,3,1,153.03,111,114.77,34,1.1,1.94,1.94,6.88,7.14,7.05
WPG,2019,WPG,WPG,Team Level,4on5,4,0.03,0.17,0.13,1589,3.63,0.14,0.12,0.32,0.08,1.09,3.24,0.14,0.14,0.14,4,1,4,9,0,0,0,0,0,3,2,4,5,0,0,15,10,3,7,4,1,0,0.06,0.08,0,0,0,0,9,5,5,7,0.03,0,0,0.17,0.17,0.17,26.05,4.01,2.04,5.45,0.74,15.26,7.5,3.88,4.01,3.88,29,6,9,44,5,2,2,8,1,10,9,24,30,0,0,20,5,1,6,27,4,4,0.74,0.47,2.8,1,0,4,44,35,35,1,0.54,1.15,1.15,3.4,3.4,3.27
WPG,2019,WPG,WPG,Team Level,5on4,4,0.93,0.83,0.81,1501,15.15,1.96,1.27,3.11,0.49,9.81,5.37,1.9,1.96,1.9,13,9,7,29,2,0,0,5,1,8,6,11,20,0,0,13,3,1,5,15,3,4,0.34,0.32,1.3,0,0,2,29,22,22,1,0.33,0,0,2.29,2.29,2.22,3.62,0.15,0.14,0.52,0.1,1.18,2.91,0.15,0.15,0.15,5,0,1,6,1,0,0,0,0,1,3,4,4,1,2,12,4,5,4,4,1,0,0.05,0.09,0,0,1,0,6,5,5,3,0.03,0,0,0.18,0.18,0.18
MIN,2019,MIN,MIN,Team Level,other,4,0.85,0.55,0.68,1060,11.73,2.06,0.93,1.98,0.34,6.47,3.22,2.02,2.06,2.02,12,3,2,17,3,0,0,3,1,4,4,9,12,0,0,8,6,1,1,8,5,2,0.38,0.62,1.07,0,2,1,17,15,15,0,0.27,0,0,2.33,2.33,2.29,5.37,0.37,0.25,1.12,0.17,2.7,2.39,0.36,0.37,0.36,5,2,7,14,0,0,0,1,1,2,3,5,7,0,0,18,2,2,3,5,2,0,0.1,0.28,0,0,0,0,14,7,7,1,0.06,0,0,0.43,0.43,0.42
MIN,2019,MIN,MIN,Team Level,all,4,0.51,0.52,0.52,14411,126.16,11.76,8.7,27.5,3.94,71.81,51.29,11.39,11.88,11.5,122,53,60,235,10,4,2,29,4,68,60,112,165,27,60,117,125,11,37,130,36,9,3.79,4.48,3.49,3,3,4,237.21,175,177.14,21,1.96,1.09,1.09,12.62,12.72,12.45,116.96,11.1,7.43,26.76,3.71,65.3,47.7,10.82,11.16,10.88,116,46,55,217,12,3,2,27,9,55,56,104,150,30,66,143,96,22,42,119,32,11,3.08,3.95,4.08,4,3,5,215.49,162,160.67,26,1.64,1.67,1.67,11.07,11.14,10.86
MIN,2019,MIN,MIN,Team Level,5on5,4,0.5,0.5,0.51,9621,86.24,6.75,5.66,19.71,2.7,49.56,36.62,6.6,6.88,6.71,83,38,33,154,3,3,1,20,1,51,43,80,118,20,46,75,106,7,25,96,21,4,2.79,2.69,1.28,2,1,0,156.21,121,123.14,16,1.17,0.77,0.77,7.16,7.26,7.15,82.67,6.64,4.94,19.86,2.6,45.63,34.32,6.5,6.71,6.56,82,32,41,155,8,2,1,18,6,38,42,74,106,25,56,90,85,14,28,87,21,6,2.34,2.55,1.75,4,2,2,153.49,114,112.67,20,1.02,0.71,0.71,6.94,7.01,6.88
MIN,2019,MIN,MIN,Team Level,4on5,4,0.03,0.1,0.12,1722,3.68,0.12,0.15,0.47,0.12,1.14,3.01,0.12,0.12,0.12,4,1,0,5,1,0,0,0,0,0,4,3,4,2,4,12,9,2,6,5,0,0,0.12,0,0,1,0,0,5,5,5,5,0.04,0,0,0.15,0.15,0.15,24.87,3.3,2.02,5.26,0.82,15.88,8.72,3.16,3.3,3.16,26,10,7,43,4,1,1,7,2,13,9,22,32,3,6,19,3,1,6,25,8,3,0.54,0.94,1.82,0,1,3,43,36,36,0,0.51,0.95,0.95,2.86,2.86,2.72
MIN,2019,MIN,MIN,Team Level,5on4,4,0.78,0.92,0.87,2008,24.5,2.82,1.97,5.35,0.79,14.65,8.43,2.65,2.82,2.65,23,11,25,59,3,1,1,6,2,13,9,20,31,5,10,22,4,1,5,21,10,3,0.51,1.17,1.15,0,0,3,59,34,34,0,0.49,0.33,0.33,2.98,2.98,2.86,4.05,0.79,0.22,0.52,0.12,1.09,2.27,0.79,0.79,0.79,3,2,0,5,0,0,0,1,0,2,2,3,5,2,4,16,6,5,5,2,1,2,0.1,0.18,0.5,0,0,0,5,5,5,5,0.05,0,0,0.83,0.83,0.83
WSH,2019,WSH,WSH,Team Level,other,8,0.47,0.58,0.6,2002,17.84,3.17,1.08,3.3,0.62,8.9,6.93,3.16,3.17,3.16,15,9,10,34,1,0,0,5,2,8,8,14,23,3,6,18,10,4,8,12,5,7,0.35,0.74,2.08,0,1,0,34,24,24,5,0.35,0,0,3.52,3.52,3.51,10.78,3.52,0.72,1.66,0.35,5.33,4.42,3.48,3.52,3.48,12,4,9,25,4,1,0,1,1,3,6,8,12,3,6,26,14,1,7,7,4,5,0.23,0.61,2.68,0,1,3,25,16,16,3,0.19,0.04,0.04,3.67,3.67,3.63
WSH,2019,WSH,WSH,Team Level,all,8,0.46,0.51,0.5,30268,221.33,19.1,14.53,51.73,7.62,123.17,92.85,18.51,19.13,18.53,201,108,131,440,14,12,2,41,8,110,124,187,295,43,92,191,292,41,90,233,54,22,5.62,6.68,6.8,2,8,4,435.04,309,307.35,52,3.28,3.1,3.1,19.28,19.3,18.93,218.88,22.75,14.96,50.98,7.65,121.68,89.98,22.17,23,22.42,219,89,114,422,25,15,3,51,4,103,110,194,283,40,86,263,286,61,105,212,69,27,5.16,8.54,9.04,3,12,10,427.11,308,311.6,65,3.3,3.82,3.82,22.22,22.51,22.08
WSH,2019,WSH,WSH,Team Level,5on5,8,0.42,0.5,0.48,23319,157.72,10.37,9.72,39.08,5.51,89.67,67.66,10.14,10.4,10.16,145,77,101,323,8,4,0,28,5,83,94,137,214,38,82,145,265,28,67,178,37,7,4.11,4.5,1.75,1,6,1,318.04,222,220.34,39,1.98,0.67,0.87,11.48,11.5,11.32,172.35,14.16,11.16,41.88,6.07,94.29,71.45,13.8,14.41,14.06,166,73,80,319,18,11,2,39,1,87,83,148,221,30,66,178,254,54,72,173,50,16,4.03,6.16,3.96,3,10,5,324.11,239,242.6,51,2.32,2.28,2.28,14.19,14.48,14.24
WSH,2019,WSH,WSH,Team Level,4on5,8,0.12,0.16,0.22,2736,9.44,0.64,0.39,1.55,0.33,3.09,7.01,0.63,0.64,0.63,9,4,0,13,0,1,0,1,0,3,8,9,13,0,0,15,7,6,9,10,3,0,0.27,0.37,0,0,0,0,13,13,13,7,0.09,0.11,0.11,0.62,0.62,0.62,31.48,4.71,2.87,6.86,1.07,20.49,10.99,4.53,4.71,4.53,35,12,23,70,2,3,1,10,2,12,18,33,45,5,10,33,6,2,19,28,13,6,0.86,1.45,2.4,0,0,2,70,47,47,4,0.74,1.5,1.5,3.95,3.95,3.81
WSH,2019,WSH,WSH,Team Level,5on4,8,0.93,0.9,0.89,2211,36.32,4.92,3.35,7.79,1.17,21.52,11.26,4.57,4.92,4.57,32,18,20,70,5,7,2,7,1,16,14,27,45,2,4,13,10,3,6,33,9,8,0.89,1.07,2.96,1,1,3,70,50,50,1,0.86,2.32,2.12,3.66,3.66,3.48,4.27,0.35,0.21,0.59,0.15,1.57,3.13,0.35,0.35,0.35,6,0,2,8,1,0,0,1,0,1,3,5,5,2,4,26,12,4,7,4,2,0,0.03,0.32,0,0,1,0,8,6,6,7,0.05,0,0,0.4,0.4,0.4
PIT,2019,PIT,PIT,Team Level,other,4,0.77,0.78,0.72,558,7.93,2.01,0.6,1.39,0.34,5.42,3.25,1.98,2.01,1.98,6,7,5,18,1,0,0,3,1,6,2,5,12,1,2,8,4,0,1,7,3,3,0.35,0.32,1.34,0,0,1,18,13,13,1,0.17,0,0,2.18,2.18,2.14,3.59,0.6,0.3,0.66,0.13,1.84,1.47,0.56,0.6,0.56,4,1,0,5,1,0,0,0,2,2,0,3,4,0,0,6,3,0,3,2,2,1,0.03,0.22,0.35,1,0,0,5,5,5,2,0.09,0,0,0.7,0.7,0.65
PIT,2019,PIT,PIT,Team Level,all,4,0.63,0.55,0.55,15237,142.13,15.34,10.32,32.58,5.09,79.96,54.71,14.42,15.38,14.45,134,64,73,271,8,12,2,39,7,74,58,126,190,13,24,124,108,11,48,148,30,20,4.52,3.9,6.92,2,1,5,272.84,198,199.11,31,2.36,3.63,3.64,14.07,14.09,13.71,114.23,9.17,7.32,26.15,3.98,62.72,51.67,8.73,9.14,8.7,115,46,63,224,10,8,3,10,7,59,67,105,151,18,34,121,171,18,45,127,25,9,3.51,2.85,2.8,5,0,5,223.41,161,160.41,26,1.57,1.91,1.91,8.83,8.83,8.67
PIT,2019,PIT,PIT,Team Level,5on5,4,0.5,0.51,0.5,11790,99.6,7.77,6.65,24.05,3.61,54.04,40.88,7.5,7.8,7.53,96,41,59,196,4,6,1,28,6,46,47,92,133,12,22,93,87,8,41,107,23,7,2.86,3.09,1.82,2,1,1,197.84,137,138.1,26,1.37,1.36,1.36,7.78,7.8,7.67,96.35,7.68,6.05,22.77,3.43,52.41,42.66,7.3,7.66,7.28,98,37,53,188,9,8,3,9,4,48,57,89,126,13,24,90,152,14,35,107,20,8,2.91,2.33,2.45,4,0,5,187.41,135,134.41,21,1.25,1.91,1.91,7.02,7.02,6.93
PIT,2019,PIT,PIT,Team Level,4on5,4,0.04,0.08,0.07,1291,0.76,0.03,0.02,0.14,0.03,0.25,0.54,0.03,0.03,0.03,1,0,1,2,0,0,0,1,0,0,0,1,1,0,0,6,12,3,3,1,0,0,0.03,0,0,0,0,0,2,1,1,3,0.01,0,0,0.03,0.03,0.03,9.3,0.65,0.76,2.24,0.31,6.85,3.2,0.63,0.65,0.63,7,7,9,23,0,0,0,0,1,8,5,7,14,2,4,12,6,2,4,11,3,0,0.35,0.3,0,0,0,0,23,14,14,0,0.18,0,0,0.84,0.84,0.81
PIT,2019,PIT,PIT,Team Level,5on4,4,0.96,0.87,0.87,1598,33.85,5.54,3.05,7,1.11,20.25,10.04,4.92,5.54,4.92,31,16,8,55,3,6,1,7,0,22,9,28,44,0,0,17,5,0,3,33,4,10,1.28,0.49,3.77,0,0,3,55,47,47,1,0.82,2.28,2.28,4.08,4.08,3.87,4.99,0.23,0.21,0.49,0.12,1.62,4.34,0.23,0.23,0.23,6,1,1,8,0,0,0,1,0,1,5,6,7,3,6,13,10,2,3,7,0,0,0.23,0,0,0,0,0,8,7,7,3,0.05,0,0,0.28,0.28,0.28
COL,2019,COL,COL,Team Level,other,15,0.53,0.64,0.63,3037,44.69,8.65,3.37,8.22,1.43,24.12,13.22,8.2,8.65,8.2,42,17,16,75,8,3,1,5,1,21,21,34,51,3,6,34,20,7,11,30,14,15,1.32,1.82,5.5,1,2,5,75,59,59,7,0.96,0.77,0.77,8.84,8.84,8.47,25.84,7.73,1.59,4.26,0.85,12.4,8.17,6.32,7.73,6.32,28,7,8,43,6,0,0,3,0,13,13,22,29,1,2,27,20,2,11,15,9,11,0.53,1.13,6.07,2,1,3,43,35,35,6,0.55,0,0,8.28,8.28,6.79
