team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PIT,2017,PIT,PIT,Team Level,other,12,0.44,0.53,0.53,2296,25.5,4.78,1.67,5.12,0.78,12.46,9.19,4.75,4.78,4.75,26,8,11,45,6,3,0,8,1,7,9,20,28,4,11,29,9,3,5,17,10,7,0.6,1.08,3.09,2,1,3,45,34,34,2,0.45,0.65,0.65,4.58,4.58,4.56,20.5,6.04,1.3,3.79,0.74,10.87,7.26,5.89,6.04,5.89,20,10,10,40,6,2,1,3,1,9,9,14,24,5,13,20,19,3,5,17,5,8,0.77,0.65,4.61,0,0,6,40,30,30,3,0.35,0.58,0.58,5.8,5.8,5.74
PIT,2017,PIT,PIT,Team Level,all,12,0.52,0.51,0.52,43527,351.44,33.78,25.01,80.49,11.7,202.32,148.69,32.77,34.11,33.09,349,153,178,680,42,28,5,88,13,165,166,307,460,47,102,365,363,83,118,374,97,31,10.74,11.62,11.43,15,13,14,687.22,502,505.51,68,5.5,6.66,6.66,32.63,32.99,32.27,323.53,31.49,21.37,72.69,10.57,177.7,144.19,30.68,31.44,30.63,319,139,203,661,34,17,5,71,10,156,170,285,424,54,114,328,453,73,112,344,86,28,10.19,10.67,10.63,11,8,15,657.43,458,457.72,57,4.67,3.36,3.36,32.8,32.76,32.3
PIT,2017,PIT,PIT,Team Level,5on5,12,0.53,0.51,0.52,33586,266.28,21.61,18.1,64.28,8.88,153.35,115.78,21.18,21.95,21.5,265,117,140,522,28,19,2,73,12,119,131,237,354,37,79,267,331,71,87,291,74,17,8.36,8.73,4.52,13,9,6,529.22,382,385.51,54,3.74,3.75,3.75,21.6,21.96,21.66,249.23,19.25,15.76,59.29,8.11,136.97,109.63,18.81,19.2,18.76,241,108,161,510,21,11,3,61,8,115,133,220,328,45,93,252,406,59,92,272,64,13,8.15,7.92,3.18,10,7,4,506.43,349,348.72,48,3.25,2.09,2.09,20.4,20.36,20.12
PIT,2017,PIT,PIT,Team Level,4on5,12,0.05,0.11,0.14,3575,5.67,0.24,0.15,0.65,0.16,1.28,6.51,0.24,0.24,0.24,8,1,1,10,0,0,0,0,0,1,8,8,9,1,2,31,18,7,9,8,1,0,0.09,0.15,0,0,0,0,10,9,9,9,0.04,0,0,0.28,0.28,0.28,39.53,5.05,3.74,7.7,1.26,26.27,12.97,4.93,5.05,4.93,38,19,28,85,6,1,0,5,1,27,17,32,51,3,6,18,10,3,11,38,14,5,0.97,1.78,2.3,1,1,4,85,57,57,2,0.95,0.01,0.01,6,6,5.85
PIT,2017,PIT,PIT,Team Level,5on4,12,0.86,0.8,0.78,4070,53.99,7.14,5.09,10.45,1.88,35.22,17.22,6.6,7.14,6.6,50,27,26,103,8,6,3,7,0,38,18,42,69,5,10,38,5,2,17,58,12,7,1.68,1.65,3.81,0,3,5,103,77,77,3,1.28,2.26,2.26,6.16,6.16,5.78,14.28,1.15,0.57,1.91,0.45,3.59,14.33,1.04,1.15,1.04,20,2,4,26,1,3,1,2,0,5,11,19,21,1,2,38,18,8,4,17,3,2,0.29,0.32,0.54,0,0,1,26,22,22,4,0.13,0.68,0.68,0.6,0.6,0.6
NSH,2017,NSH,NSH,Team Level,other,13,0.52,0.48,0.49,2401,25.59,7.17,1.76,4.24,0.78,12.99,7.07,6.84,7.17,6.84,22,12,11,45,6,3,2,4,2,10,9,16,28,0,0,21,8,6,3,21,3,10,0.83,0.29,6.04,1,0,5,45,34,34,1,0.51,1.91,1.91,5.77,5.77,5.73,25.51,6.71,1.67,4.55,0.78,13.57,7.72,6.52,6.71,6.52,28,7,13,48,14,1,0,6,1,9,4,14,21,0,0,32,9,0,4,20,4,11,0.71,0.44,5.57,3,1,10,48,35,35,2,0.5,0.38,0.38,6.83,6.83,6.63
NSH,2017,NSH,NSH,Team Level,all,13,0.52,0.53,0.54,48337,464.38,42.63,30.72,104.91,14.49,253.41,197.84,41.55,42.77,41.68,466,178,223,867,41,32,6,112,26,205,228,425,603,52,107,461,341,115,161,494,109,41,13.83,13.49,15.31,15,12,14,867.35,644,646.48,106,6.72,6.59,7,42.35,42.37,41.73,403.24,39.94,26.5,87.79,12.99,214.8,170.97,38.77,40.17,38.99,410,143,212,765,42,27,5,101,8,156,219,368,511,49,101,376,322,79,128,412,101,40,11.58,12.56,15.79,9,13,20,767.12,553,553.57,80,5.8,7.07,7.07,38.66,38.91,38.3
NSH,2017,NSH,NSH,Team Level,5on5,13,0.51,0.52,0.53,38995,370.32,27.62,23.96,88.6,11.73,204.13,156.97,26.99,27.76,27.13,368,145,184,697,27,27,4,90,22,162,185,341,486,44,91,360,312,99,143,410,81,22,11.36,10.19,6.07,12,9,6,697.35,513,515.48,100,4.94,4.48,4.89,27.67,27.69,27.24,332.05,26.98,21.02,75.1,10.83,174.74,145.33,26.2,27.22,26.43,328,126,183,637,24,22,4,79,7,133,189,304,430,40,83,287,295,76,104,347,83,24,9.49,10.58,6.92,6,11,7,639.12,454,454.57,68,4.33,5.53,5.53,25.78,26.03,25.77
NSH,2017,NSH,NSH,Team Level,4on5,13,0.19,0.29,0.33,3528,18.32,1.41,0.77,2.38,0.52,4.85,17.06,1.41,1.41,1.41,23,4,2,29,1,1,0,2,1,4,18,22,26,6,12,37,16,9,5,19,7,1,0.26,0.95,0.2,0,1,0,29,27,27,5,0.18,0.02,0.02,1.57,1.57,1.57,40.6,6.05,3.61,7.63,1.25,25.08,12.38,5.85,6.05,5.85,46,10,15,71,4,4,1,14,0,14,20,42,52,7,14,31,7,1,12,38,13,5,1.31,1.43,3.31,0,1,3,71,56,56,2,0.92,1.16,1.16,5.81,5.81,5.65
NSH,2017,NSH,NSH,Team Level,5on4,13,0.97,0.91,0.9,3413,50.16,6.43,4.23,9.69,1.46,31.44,16.75,6.29,6.43,6.29,53,17,26,96,7,1,0,16,1,29,16,46,63,2,4,43,5,1,10,44,18,8,1.38,2.06,3,2,2,3,96,70,70,0,1.09,0.18,0.18,7.34,7.34,7.18,5.07,0.19,0.21,0.5,0.14,1.41,5.54,0.19,0.19,0.19,8,0,1,9,0,0,0,2,0,0,6,8,8,2,4,26,11,2,8,7,1,0,0.09,0.11,0,0,0,0,9,8,8,8,0.05,0,0,0.24,0.24,0.24
